user-url	group-names	count
vk.com/id2857340	Russian_Eclipse_Community, Java	2
vk.com/id35779808	Proglib, Журнал_Код	2
vk.com/id3138930	Нижегородское_IT_сообщество, RubyDev, Ruby_on_Rails, Российские_интернет_технологии, I_am_a_developer, Python_community, Девушки_в_IT, JetBrains, Deep_Learning	9
vk.com/id41016093	Deep_Learning	1
vk.com/id2977895	Типичный_сисадмин	1
vk.com/id26544162	Memes_on_Machine_Learning_for_Young_Ladies, Saint_Petersburg_R_User_Group	2
vk.com/id6143389	Журнал_Код, Высшая_школа_программирования_Сергея_Бобровского, Яндекс_для_разработчиков	3
vk.com/id73161741	Яндекс_для_разработчиков	1
vk.com/id3435682	Proglib	1
vk.com/id132308943	Яндекс_для_разработчиков	1
vk.com/id4125960	Vue.js, Laravel_Framework	2
vk.com/id67341131	ВКонтакте_API	1
vk.com/id1415528	ITc_сообщество_программистов	1
vk.com/id83929602	Типичный_сисадмин	1
vk.com/id9607865	Программисты_C_CPP	1
vk.com/id50595075	Dart_lang	1
vk.com/id2870890	VK_Lab, Deep_Learning	2
vk.com/id6512984	Laravel_Framework	1
vk.com/id91736870	Neurohive	1
vk.com/id233591806	Proglib, Яндекс_для_разработчиков	2
vk.com/id195451424	Neurohive	1
vk.com/id24112395	Miro	1
vk.com/id3891083	Proglib, Журнал_Код, ITc_сообщество_программистов, Selectel, Geek_Code, Личка_программиста, Physics.Math.Code, Hash, Angular	9
vk.com/id27789258	Proglib, Tensor_Flow, Deep_Learning	3
vk.com/id2687168	Яндекс_для_разработчиков	1
vk.com/id1768121	MS_Excel_Tips_and_Tricks	1
vk.com/id3218365	Proglib, CodeBlog, I_am_a_developer, Devmath_Облако_программиста	4
vk.com/id72595	ВКонтакте_API, Журнал_Код, Математическая_лингвистика	3
vk.com/id2415686	Журнал_Код	1
vk.com/id51082342	Proglib	1
vk.com/id28331847	Vue.js, Neo4j_is_a_Graph_Database, Laravel_Framework	3
vk.com/id4858681	Alt_Linux, Типичный_сисадмин	2
vk.com/id99322832	Upwork	1
vk.com/id1206173	Proglib	1
vk.com/id3614110	ModelOverfit, Яндекс_для_разработчиков, Deep_Learning	3
vk.com/id4186729	Proglib, Frontend_Racoon	2
vk.com/id16522106	Neurohive	1
vk.com/id31145935	Selectel, JetBrains, Laravel_Framework	3
vk.com/id4090181	ВКонтакте_API, Хакатоны	2
vk.com/id222055102	Machine_Learning_Research, Язык_программирования_R_для_статистических_вычислений, Data_Monsters, Мультиагентное_Моделирование_Семантическая_Сеть, Data_Mining_Labs, Machine_Learning, Python_1, Deep_Learning, Тренировки_ML, Neuro_Intelligent_Decision_Support, Вычислительная_экономика, Kaggle_Club	12
vk.com/id82421967	JetBrains	1
vk.com/id94054211	Proglib	1
vk.com/id1290137	Data_Science_1, Data_Science_in_Action, Тренировки_ML, Kaggle_Club	4
vk.com/id89582090	Proglib	1
vk.com/id338464360	Astra_Linux	1
vk.com/id520710	Dataflow	1
vk.com/id2131302	Wolfram_Mathematica_Русскоязычная_поддержка, Just_AI, Data_Monsters, Data_Mining_Labs, Power_BI_support	5
vk.com/id19960197	Alt_Linux, Data_Science_1, Центр_Когнитивного_Моделирования_МФТИ, DataStart_Conference, OpenTalsk.AI, CommOn, Deep_MIPT, Boosters.pro	8
vk.com/id3412776	ВКонтакте_API	1
vk.com/id458537	ВКонтакте_API	1
vk.com/id202903	ВКонтакте_API, Alt_Linux, Школа_сисадмина, Computer_Science_Center, Webtackles_веб_разработка_фронтенд, Smart_City_Hackathon_2018, Яндекс_для_разработчиков, Python_2	8
